,#,ID1_2,ID2_2,ID3_2,RA_2,Dec_2,z_2,S_NVSS,L_NVSS,S_First,L_First,size_rad,FRclass,g_min_r,concent,mass_2,bk4000,o3lum_1,Mbh/Mstar,R_50_kpc,mu50,sfr_tot_p50,specsfr_tot_p50,o3lum_2,o3redcor,o3sn,o3lumlim,o3
120,,911,52426,391,13.502868,-2.10501,0.08657000000000001,0.132,24.38,0.0,0.0,25.93,210,1.01,3.12,11.28,1.96,4.91,0.001318256391182683,6.597949442046054,696629558.4049929,-0.2019529,-11.5348,4.91,5.94,0.44,5.74,0.0
121,,922,52426,107,15.141186,-2.24043,0.11782000000000001,0.0402,24.15,0.0,0.0,12.5,200,1.04,3.29,11.27,1.85,6.3,0.0029512045606320692,4.2367797069809665,1651006651.1980414,-0.7225078,-12.069189999999999,6.3,7.33,2.34,6.41,0.0
122,,911,52426,192,13.531075,-2.8721,0.08653,0.0727,24.12,0.0,0.0,29.44,200,1.01,2.89,11.55,1.93,5.69,0.0006309576215861531,8.79901466842681,729377293.4603701,-0.8626184000000001,-12.47685,5.69,6.8,1.01,6.16,0.0
123,,973,52426,394,16.975588000000002,33.41166,0.17887999999999998,0.10800000000000001,24.96,0.0,0.0,51.84,200,1.05,3.28,11.26,1.87,6.44,0.0014791086480080836,7.217321455555442,555991641.4017938,-1.1327559999999999,-12.45412,6.44,7.46,1.45,6.76,0.0
124,,912,52427,38,13.739854999999999,-2.37757,0.24220999999999998,0.096,25.2,0.0017,23.448178448232753,57.76,200,1.14,3.09,11.54,1.91,6.42,0.0014454392628956644,8.36445189335948,788760435.3217415,-0.582437,-12.1815,6.42,7.53,0.94,6.93,0.0
125,,948,52428,432,10.648994,57.87988000000001,0.10078,0.233,24.77,0.0022,22.745067225318287,91.16,200,1.02,3.0,10.83,1.92,6.14,0.002454710856206481,3.6024988559867883,829110379.8126906,-0.8821220999999999,-11.77936,6.14,6.99,3.39,6.08,6.14
126,,849,52439,505,13.04177,5.66144,0.13112000000000001,0.1174,24.71,0.0167,23.863047451423373,19.31,200,1.02,3.25,10.95,1.89,6.23,0.0020892992506415303,3.874039901675458,945130464.0261023,-0.7716876,-11.80044,6.23,7.14,2.58,6.3,6.23
127,,969,52442,491,12.074566,50.17194,0.20873000000000003,0.066,24.9,0.0,0.0,104.62,200,1.09,3.67,11.47,1.95,5.87,0.0013489632380568445,8.732079096226549,616006190.76473,-1.0321120000000001,-12.54659,5.87,6.96,0.54,6.62,0.0
128,,969,52442,530,12.122532000000001,51.02097,0.18478,0.068,24.79,0.0,0.0,10.82,200,1.06,2.76,11.61,1.96,6.13,0.0005495417909851545,11.094856544172538,526715872.455004,-0.9082537,-12.62791,6.13,7.26,1.21,6.53,0.0
129,,1046,52460,233,14.445571,49.54376,0.19115,0.0558,24.74,0.0,0.0,19.82,200,1.11,2.67,11.71,1.96,6.3,0.0009772367059324805,13.403284596646392,454357489.62908936,-0.8256661,-12.5651,6.3,7.45,2.29,6.42,0.0
130,,1043,52465,100,13.896486999999999,51.959540000000004,0.13202,0.0904,24.6,0.0,0.0,8.03,200,0.97,2.94,11.19,1.92,6.35,0.002454710856206481,3.94365382516517,1584973995.0977135,-1.174415,-12.38684,6.35,7.35,2.77,6.38,6.35
131,,687,52518,67,0.33687870000000003,0.08066,0.21269000000000002,0.165,25.31,0.0,0.0,166.56,210,1.11,2.93,11.41,1.94,6.09,0.001862089099377868,9.136851443020776,490034719.7583063,-0.9180502,-12.3629,6.09,7.16,0.93,6.6,0.0
132,,686,52519,617,0.213216,0.78772,0.14844000000000002,0.0586,24.52,0.0055,23.49246553018085,26.82,200,1.1,2.99,11.5,2.07,6.25,0.0012882485332938046,10.183841679227038,485284984.29269534,-1.1125260000000001,-12.64043,6.25,7.35,1.21,6.64,0.0
133,,988,52520,319,21.409713,-0.53477,0.23540999999999998,0.0754,25.07,0.0021,23.514847610791612,36.19,200,1.1,2.87,11.51,1.8,6.31,0.001995263191254866,6.019597795085846,1421298872.8816333,-0.03985633,-11.60325,6.31,7.41,1.76,6.54,0.0
134,,646,52523,262,23.414722,-10.20316,0.15965,0.07,24.67,0.0,0.0,92.57,200,1.0,2.74,11.15,1.81,6.91,0.00038904528168399446,5.588422332983026,719848843.1855599,-0.28789580000000004,-11.49891,6.91,7.89,8.44,6.46,6.91
135,,756,52577,110,7.872732000000001,33.563590000000005,0.1403,0.066,24.52,0.0,0.0,86.52,200,1.03,3.31,11.43,1.95,0.0,0.0016595842835336395,7.539497965718708,753590786.5163196,-1.1862190000000001,-12.66019,0.0,1.08,-0.13,6.09,0.0
136,,893,52589,394,8.267190600000001,38.07094,0.17275,0.4075,25.51,0.1573,25.096601322910708,23.74,200,1.0,2.9,11.62,1.8,6.69,0.0007079464062202758,10.245572420067326,632044362.944891,-0.2248935,-11.916139999999999,6.69,7.82,3.26,6.66,6.69
137,,896,52592,94,8.7580658,42.33136,0.13304000000000002,0.201,24.96,0.0145,23.81817101076529,132.23,200,1.02,3.13,11.16,1.79,6.71,0.0016218102398133033,4.772979832311626,1009812588.6267117,-0.7180930999999999,-11.9,6.71,7.11,8.63,6.25,6.71
138,,944,52614,43,10.367968,44.86226,0.08299,0.3493,24.76,0.0,0.0,31.03,200,1.06,3.13,11.42,1.98,6.15,0.0012302692030632099,7.382061297114677,768183392.5018308,-1.351658,-12.82647,6.15,7.22,5.0,5.92,6.15
139,,944,52614,486,10.308746000000001,46.15461,0.16542,0.040999999999999995,24.47,0.0,0.0,161.77,200,1.06,3.21,11.55,1.99,6.43,0.0011748967293472915,9.295397506086935,653558382.4709238,-0.8305587999999999,-12.40575,6.43,7.54,2.37,6.53,0.0
140,,894,52615,463,8.4483515,39.81215,0.23555,0.0625,24.99,0.0139,24.337134543738976,24.39,200,1.08,3.32,11.41,1.86,7.05,0.0019054595463785964,6.433753425450026,988305367.6226443,-0.14186329999999994,-11.60777,7.05,8.12,6.55,6.71,7.05
141,,962,52620,581,10.750762,47.29978,0.14492,0.0762,24.62,0.0,0.0,21.69,200,1.05,3.32,11.5,1.98,6.41,0.001862089099377868,7.08634705762009,1002248223.1979408,-1.114833,-12.656839999999999,6.41,7.5,2.25,6.53,0.0
142,,932,52620,71,8.524304699999998,32.32413,0.0512,1.9909999999999999,25.09,0.0,0.0,303.55,200,1.09,3.04,11.12,1.86,6.46,0.0012882485332938046,4.286082846016689,1142086228.1013775,-0.9481261999999999,-12.11549,6.46,6.93,16.19,5.73,6.46
143,,996,52641,627,10.221252,6.75535,0.12393,0.3022,25.07,0.0,0.0,17.22,200,1.0,3.28,11.23,1.92,5.77,0.0005011875637969403,6.782875211513759,587478557.1020025,-1.0052590000000001,-12.2963,5.77,6.78,1.01,6.24,0.0
